text,label,emotion,source_model,persona_type,news_title
난 요즘 골든글로브 뭐하는 거야? 일만 서서히 진행인데...,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내가 여자가 아니라도 이런게 뭔 일이야?,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
아직 집에도 돌아가지도 못했는데... 그 사람들 잔치 같네,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이제까지 한 해에 10일도 집에 못오게 되면...,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
진짜 이런 상식적인 사람들한테 어떻게 상을 준다는 거지?,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
오늘부터 이틀 동안 연차 빼야 뭔가 ...,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
저녁 늦게까지 야근하고 온 몸살에 빠져서 뭘 어떻게해야할지,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이제 막 퇴근한 사이에 뉴스 봤는데... 그 어떤 일에도 발끈하지도 못할 것 같다,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
아무튼 내일이 뻔뻔한 백인들 잔치인듯... 내일은 회의 참석해야하는데...,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내일 회사에서는 한 사람 한 사람씩 뻔뻔한척해야한다는 느낌이 들고,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
다시 한 번 생각해 보면 저녁을 안 먹고 집에간 나라도 있을 것 같은데...,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
저는 회의때 12시간을 자야 하는데...,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이젠 저도 저녁시간에 골든글로브를 시청하고 싶어요..,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
다시봐도 너무 아픈 뉴스다. 백인들의 잔치란건 말도 안 돼...,3,상처,llama3-8b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내가 공부해왔던 건 무의미한 것일까? 아니라고 생각하는데...왜냐면 그래야지...,3,상처,llama3-8b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
오늘 저녁 야근중 이 뉴스 보다니...,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
아이가 아파하면 어떻게해야 했을까..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
집에 돌아와서 아이들하고 지내야 하는데..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
이국종 선생님도 이렇구낭... 어떻게해야하나요..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
어떻게 저런 기사를 내고서 잠을 방치하냐고요.,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
"백인들이 주조정을 잡고 있지만, 이번엔 우리 영화도 한번 뚫어보도록 해야 하는 거 아니야? 🤯",4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
"이런 경우도 종종 있지만, 그래도 우리의 영화들이 이런 큰 무대에서도 인정받는 날이 올 거라고 믿는다. 🤔",4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이런 결과보니 직장에서 스트레스받는 나도 우리 업계에 힘을 얹어야겠다는 생각이들어. 🤯,4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
백인들만의 카르텔이란 말인가 보네. 우리 한국 영화도 주목받는 날을 위해 힘을 모아야죠. 🤯,4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이런 영화상에서 격리되고 있는 아시아계 배우들이 처음으로 큰 성과를 거두는 것을 보니 정말 당황스럽네요.,4,당황,qwen2.5-7b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
